HOUR,PLANT_ID,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
0,4135001.0,22.76029269665576,20.951019411050527,0.0
1,4135001.0,22.566702119186054,20.840318763894732,0.0
2,4135001.0,22.460107824962797,20.76668978954613,0.0
3,4135001.0,22.319239462239583,20.62482025453869,0.0
4,4135001.0,22.171524788467263,20.46906866659226,0.0
5,4135001.0,22.074731526946334,20.369940101549506,0.00013331934920915556
6,4135001.0,22.20651597269488,21.289874470527128,0.04150614594468542
7,4135001.0,23.344960726839826,26.914710028343585,0.1936340986826026
8,4135001.0,24.917593987710084,35.49930947818627,0.3726746954323879
9,4135001.0,26.478392669195756,42.24738290077569,0.5275951980104665
10,4135001.0,27.649794990441176,46.13791319602007,0.6448460731202381
11,4135001.0,28.79975447719577,50.43854907111993,0.7320414737414461
12,4135001.0,29.617986423489697,51.44187876764392,0.7423055070817342
13,4135001.0,30.098054139223212,50.159410385906625,0.6928903438358587
14,4135001.0,30.290509938047702,47.57595446898191,0.5836518707274949
15,4135001.0,29.994695105627706,43.034134020743146,0.45789178499058436
16,4135001.0,29.375039765223665,37.39008297012987,0.2881205114103174
17,4135001.0,28.29402318729728,31.178498638644438,0.12631296287613875
18,4135001.0,26.679718251855743,25.892563192997198,0.01671029670624296
19,4135001.0,25.3620045127451,23.43882009901961,2.464903604901961e-06
20,4135001.0,24.49954777247899,22.441390799439777,0.0
21,4135001.0,23.87346013735178,21.947787845019672,0.0
22,4135001.0,23.228559010014006,21.33900810563725,0.0
23,4135001.0,22.894542231358617,21.092761148123053,0.0
